ID_Soporte;ITEM;EWP;CWP;CWA;PWP;ID_LINEA;ID_ISO;CLASE;ID_TipoSoporte;DIAM.;CANTIDAD;UNIDAD;PESO_TOTAL;UNIDAD2;SUMINISTRO;OBSERV.;;
"299_SL-02, ANGULO ANCLAJE LATERAL_4""";299;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C2-0003-N";;C2;SL-02, ANGULO ANCLAJE LATERAL;"4""";1;un;-;kg;Contratista;;;
"315_SL-02, ANGULO ANCLAJE LATERAL_4""";315;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C2-0003-N";;C2;SL-02, ANGULO ANCLAJE LATERAL;"4""";1;un;-;kg;Contratista;;;
"467_SL-02, ANGULO ANCLAJE LATERAL_4""";467;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C2-0003-N";;C2;SL-02, ANGULO ANCLAJE LATERAL;"4""";1;un;-;kg;Contratista;;;
"468_SL-02, ANGULO ANCLAJE LATERAL_4""";468;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C2-0004-N";;C2;SL-02, ANGULO ANCLAJE LATERAL;"4""";1;un;-;kg;Contratista;;;
"469_SL-02, ANGULO ANCLAJE LATERAL_4""";469;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C2-0004-N";;C2;SL-02, ANGULO ANCLAJE LATERAL;"4""";1;un;-;kg;Contratista;;;
"32_PU-01, PERNO U LARGO_4""";32;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C3-0015-R3";;C3;PU-01, PERNO U LARGO;"4""";1;un;-;kg;Contratista;;;
"33_PU-01, PERNO U LARGO_4""";33;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C3-0015-R3";;C3;PU-01, PERNO U LARGO;"4""";1;un;-;kg;Contratista;;;
"88_PU-01, PERNO U LARGO_4""";88;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C3-0015-R3";;C3;PU-01, PERNO U LARGO;"4""";1;un;-;kg;Contratista;;;
"101_PU-01, PERNO U LARGO_4""";101;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C3-0015-R3";;C3;PU-01, PERNO U LARGO;"4""";1;un;-;kg;Contratista;;;
"106_PU-01, PERNO U LARGO_4""";106;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C3-0015-R3";;C3;PU-01, PERNO U LARGO;"4""";1;un;-;kg;Contratista;;;
"256_SL-02, ANGULO ANCLAJE LATERAL_4""";256;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C3-0015-R3";;C3;SL-02, ANGULO ANCLAJE LATERAL;"4""";1;un;-;kg;Contratista;;;
"338_SL-02, ANGULO ANCLAJE LATERAL_4""";338;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C3-0015-R3";;C3;SL-02, ANGULO ANCLAJE LATERAL;"4""";1;un;-;kg;Contratista;;;
"69_PU-01, PERNO U LARGO_4""";69;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-4""-C3-0077-R3";;C3;PU-01, PERNO U LARGO;"4""";1;un;-;kg;Contratista;;;
"40_PU-01, PERNO U LARGO_6""";40;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;PU-01, PERNO U LARGO;"6""";1;un;-;kg;Contratista;;;
"67_PU-01, PERNO U LARGO_6""";67;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;PU-01, PERNO U LARGO;"6""";1;un;-;kg;Contratista;;;
"99_PU-01, PERNO U LARGO_6""";99;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;PU-01, PERNO U LARGO;"6""";1;un;-;kg;Contratista;;;
"225_SL-02, ANGULO ANCLAJE LATERAL_6""";225;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
"227_SL-02, ANGULO ANCLAJE LATERAL_6""";227;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
"238_SL-02, ANGULO ANCLAJE LATERAL_6""";238;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
"246_SL-02, ANGULO ANCLAJE LATERAL_6""";246;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
"247_SL-02, ANGULO ANCLAJE LATERAL_6""";247;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
"249_SL-02, ANGULO ANCLAJE LATERAL_6""";249;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
"254_SL-02, ANGULO ANCLAJE LATERAL_6""";254;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
"257_SL-02, ANGULO ANCLAJE LATERAL_6""";257;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
"262_SL-02, ANGULO ANCLAJE LATERAL_6""";262;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
"269_SL-02, ANGULO ANCLAJE LATERAL_6""";269;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
"273_SL-02, ANGULO ANCLAJE LATERAL_6""";273;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
"275_SL-02, ANGULO ANCLAJE LATERAL_6""";275;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
"276_SL-02, ANGULO ANCLAJE LATERAL_6""";276;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-6""-C11-0001-N";;C11;SL-02, ANGULO ANCLAJE LATERAL;"6""";1;un;-;kg;Contratista;;;
