ID_ISO;ID_LINEA;SHEET;REV;PLANO_CONTRATISTA;PLANO_CODELCO;CLASE;NPS;INGENIERIA;CONDICION;SPOOLEADO;ESTATUS;DISTRIBUIDO;OBSERVACIONES
03351-CT-400-H1-0057-N_HOJA-1;03351-CT-400-H1-0057-N;1;0;F039-SS01-ISO-PI-037;4600022667-001-03350-502CA-00037;H1;16;EIMISA;Dibujado;SI;Vigente;SI;
03351-CT-400-H1-0058-N_HOJA-1;03351-CT-400-H1-0058-N;1;0;F039-SS01-ISO-PI-038;4600022667-001-03350-502CA-00038;H1;16;EIMISA;Dibujado;SI;Vigente;SI;
"03351-FP-1""-C5-0022-HC_HOJA-1";"03351-FP-1""-C5-0022-HC";1;0;F039-SS01-ISO-PI-39;4600022667-001-03350-502CA-00039;C5;1;EIMISA;Dibujado;SI;Vigente;SI;
"03351-FP-2""-C5-0121-HC_HOJA-1";"03351-FP-2""-C5-0121-HC";1;0;F039-SS01-ISO-PI-40;4600022667-001-03350-502CA-00040;C5;6;EIMISA;Dibujado;SI;Vigente;SI;
"03351-FP-2""-C5-0121-HC_HOJA-2";"03351-FP-2""-C5-0121-HC";2;0;F039-SS01-ISO-PI-40;4600022667-001-03350-502CA-00040;C5;6;EIMISA;Dibujado;SI;Vigente;SI;
"03351-FP-2""-C5-0121-HC_HOJA-3";"03351-FP-2""-C5-0121-HC";3;0;F039-SS01-ISO-PI-40;4600022667-001-03350-502CA-00040;C5;6;EIMISA;Dibujado;SI;Vigente;SI;
"03351-FP-2""-C5-0121-HC_HOJA-4";"03351-FP-2""-C5-0121-HC";4;0;F039-SS01-ISO-PI-40;4600022667-001-03350-502CA-00040;C5;6;EIMISA;Dibujado;SI;Vigente;SI;
"03351-GW-1""-C1-0031-N_HOJA-1";"03351-GW-1""-C1-0031-N";1;0;F039-SS01-ISO-PI-41;4600022667-001-03350-502CA-00041;C1;1;EIMISA;Dibujado;SI;Vigente;SI;
"03351-GW-1""-C1-0031-N_HOJA-2";"03351-GW-1""-C1-0031-N";2;0;F039-SS01-ISO-PI-41;4600022667-001-03350-502CA-00041;C1;1;EIMISA;Dibujado;SI;Vigente;SI;
"03351-GW-1""-C1-0031-N_HOJA-3";"03351-GW-1""-C1-0031-N";3;0;F039-SS01-ISO-PI-41;4600022667-001-03350-502CA-00041;C1;1;EIMISA;Dibujado;SI;Vigente;SI;
